                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.80867,                0.51815,                0.89501,                0.90731,                0.31378,                0.41921,                0.29832,                    nan,                    nan,                    nan,             0.00070042,             0.00070042,             0.00070042
                    105,                0.80356,                0.52749,                0.90156,                0.87816,                0.32063,                0.41485,                0.29736,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                    106,                 0.8165,                0.52037,                0.90105,                0.87748,                0.31002,                0.41613,                0.30545,                    nan,                    nan,                    nan,             0.00068628,             0.00068628,             0.00068628
                    107,                0.85483,                0.52562,                0.91375,                0.89929,                0.30216,                0.42078,                0.30976,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                    108,                0.83829,                0.51885,                0.89784,                0.89189,                0.31406,                0.41688,                 0.3086,                    nan,                    nan,                    nan,             0.00067213,             0.00067213,             0.00067213
                    109,                0.76416,                0.50268,                0.87679,                0.86484,                0.30987,                0.41274,                0.29967,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                    110,                0.81453,                0.52025,                0.89589,                0.91169,                0.29119,                0.41232,                0.29397,                    nan,                    nan,                    nan,             0.00065798,             0.00065798,             0.00065798
                    111,                0.80012,                0.50352,                  0.907,                0.83435,                0.30421,                0.34906,                0.24137,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                    112,                0.77954,                0.49405,                0.90221,                0.81807,                0.30997,                0.40953,                0.29286,                    nan,                    nan,                    nan,             0.00064384,             0.00064384,             0.00064384
                    113,                0.80697,                0.49828,                0.89537,                 0.8719,                0.31615,                0.41752,                0.30084,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                    114,                0.82401,                0.50726,                0.88781,                0.86897,                0.31652,                0.37936,                0.27541,                    nan,                    nan,                    nan,             0.00062969,             0.00062969,             0.00062969
                    115,                0.82058,                0.50018,                0.88995,                0.85981,                0.31736,                0.41795,                 0.3113,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                    116,                0.76706,                  0.485,                0.88431,                0.90435,                0.32335,                0.44532,                0.32172,                    nan,                    nan,                    nan,             0.00061554,             0.00061554,             0.00061554
                    117,                0.76919,                0.49232,                0.89167,                0.85797,                0.32443,                 0.4297,                0.31543,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                    118,                0.77368,                0.47396,                0.88547,                0.89359,                 0.3151,                0.41029,                0.29646,                    nan,                    nan,                    nan,             0.00060139,             0.00060139,             0.00060139
                    119,                0.80211,                0.50878,                0.90174,                0.87516,                0.31003,                0.42344,                0.31164,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                    120,                0.77076,                0.49384,                0.88697,                0.90922,                0.31164,                0.42882,                0.31749,                    nan,                    nan,                    nan,             0.00058725,             0.00058725,             0.00058725
                    121,                0.77327,                   0.49,                0.89113,                 0.8739,                0.31334,                0.40083,                0.28898,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                    122,                 0.7512,                0.48293,                0.89136,                0.85968,                0.32366,                0.44099,                0.32507,                    nan,                    nan,                    nan,              0.0005731,              0.0005731,              0.0005731
                    123,                0.76969,                0.49101,                0.88354,                 0.9122,                0.32279,                0.43522,                0.31502,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                    124,                0.76972,                0.48648,                0.87643,                0.88846,                 0.3166,                0.43657,                0.31528,                    nan,                    nan,                    nan,             0.00055895,             0.00055895,             0.00055895
                    125,                0.76968,                0.50748,                0.89518,                 0.9257,                0.31829,                0.43914,                0.32048,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                    126,                0.79166,                0.48878,                 0.8971,                0.86748,                0.31091,                0.42433,                0.30831,                    nan,                    nan,                    nan,             0.00054481,             0.00054481,             0.00054481
                    127,                0.78987,                0.50015,                0.89769,                 0.8903,                0.30932,                0.43053,                0.31312,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                    128,                0.78127,                0.49426,                 0.8958,                0.87913,                0.31236,                0.43685,                0.32368,                    nan,                    nan,                    nan,             0.00053066,             0.00053066,             0.00053066
                    129,                0.75266,                 0.4775,                0.89858,                0.94542,                0.31194,                0.43234,                0.31426,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                    130,                0.73242,                0.46783,                0.87692,                0.95073,                0.31669,                0.43655,                0.32299,                    nan,                    nan,                    nan,             0.00051651,             0.00051651,             0.00051651
                    131,                0.76769,                0.48332,                0.88108,                0.90259,                0.31196,                0.43755,                0.32176,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                    132,                0.74646,                 0.4658,                0.88079,                0.92185,                0.31729,                0.43027,                0.31579,                    nan,                    nan,                    nan,             0.00050236,             0.00050236,             0.00050236
                    133,                 0.7726,                0.47439,                0.88641,                0.88099,                0.31291,                0.44727,                0.33065,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                    134,                0.74043,                0.47354,                0.88814,                0.87471,                0.31791,                0.43822,                0.32514,                    nan,                    nan,                    nan,             0.00048822,             0.00048822,             0.00048822
                    135,                0.70778,                0.44327,                 0.8702,                0.90947,                0.31018,                0.44447,                0.32463,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                    136,                0.73087,                0.46548,                0.88115,                0.91735,                0.32322,                0.44276,                0.32273,                    nan,                    nan,                    nan,             0.00047407,             0.00047407,             0.00047407
                    137,                0.75668,                0.49369,                0.88448,                 0.8788,                0.31203,                0.43828,                0.31066,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                    138,                0.73775,                0.46893,                0.87835,                0.88803,                0.31781,                0.45562,                0.33723,                    nan,                    nan,                    nan,             0.00045992,             0.00045992,             0.00045992
                    139,                0.71686,                 0.4684,                0.86711,                0.93077,                0.31186,                0.44159,                0.32712,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                    140,                0.73267,                0.47183,                0.87398,                0.91021,                0.31765,                0.43745,                0.32112,                    nan,                    nan,                    nan,             0.00044578,             0.00044578,             0.00044578
                    141,                0.73421,                0.47208,                0.88019,                0.90273,                0.30801,                0.43422,                0.31896,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                    142,                0.69764,                0.44514,                 0.8699,                0.89935,                0.31203,                0.43654,                0.31958,                    nan,                    nan,                    nan,             0.00043163,             0.00043163,             0.00043163
