                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.64398,                0.41074,                0.87765,                0.92478,                0.20771,                0.40835,                0.32203,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                    147,                0.63886,                0.40225,                 0.8833,                0.92438,                0.20483,                0.40761,                0.32144,                    nan,                    nan,                    nan,              0.0010159,              0.0010159,              0.0010159
                    148,                0.63296,                0.42792,                0.88436,                0.93528,                 0.2029,                0.40528,                0.32211,                    nan,                    nan,                    nan,              0.0010131,              0.0010131,              0.0010131
                    149,                0.63857,                0.40787,                0.88345,                0.93465,                0.19905,                0.41485,                0.33095,                    nan,                    nan,                    nan,              0.0010102,              0.0010102,              0.0010102
                    150,                 0.6454,                0.42441,                0.88543,                0.88426,                0.20379,                0.38855,                0.30714,                    nan,                    nan,                    nan,              0.0010074,              0.0010074,              0.0010074
                    151,                0.63152,                0.41348,                0.87998,                 0.9153,                0.20383,                0.41579,                0.33509,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                    152,                0.64703,                0.41435,                0.87848,                0.94885,                0.20434,                0.24618,                0.18565,                    nan,                    nan,                    nan,              0.0010018,              0.0010018,              0.0010018
                    153,                0.61616,                0.40463,                0.88113,                0.92379,                0.21233,                0.37569,                0.29533,                    nan,                    nan,                    nan,             0.00099893,             0.00099893,             0.00099893
                    154,                0.61793,                0.40096,                0.87528,                0.90584,                0.20579,                0.38319,                0.30045,                    nan,                    nan,                    nan,              0.0009961,              0.0009961,              0.0009961
                    155,                0.61944,                0.39161,                 0.8738,                0.92821,                0.20754,                0.40189,                0.32049,                    nan,                    nan,                    nan,             0.00099327,             0.00099327,             0.00099327
                    156,                0.65077,                0.41401,                0.89292,                0.91408,                0.20705,                0.40821,                0.32742,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                    157,                0.67863,                0.43427,                0.88267,                0.87761,                0.20858,                0.39349,                0.30787,                    nan,                    nan,                    nan,             0.00098761,             0.00098761,             0.00098761
                    158,                  0.662,                0.42103,                0.88494,                0.91371,                0.19868,                0.39165,                 0.3113,                    nan,                    nan,                    nan,             0.00098478,             0.00098478,             0.00098478
                    159,                0.68744,                0.43874,                0.89157,                0.88937,                 0.2083,                0.38948,                 0.3057,                    nan,                    nan,                    nan,             0.00098195,             0.00098195,             0.00098195
                    160,                0.61642,                0.39545,                0.86748,                0.91441,                0.21061,                0.42587,                  0.343,                    nan,                    nan,                    nan,             0.00097912,             0.00097912,             0.00097912
                    161,                0.61259,                0.39267,                0.86302,                0.96154,                0.20512,                0.40316,                0.32066,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
